"uv_GPS_Merge_val_ID","Collar_ID","Object_ID","PubName","GMT_date","LMT_date","Longitude","Latitude","Height","Locale_N","Locale_E","Locale_H","DOP","Nav","Sats_used","Validated","Main","Bkup","Temp","Valid_pos","Sex"
1211049,"05586","W9403","Grivla (5586)",28-8-2009 12:55:00,28-8-2009 13:55:00,14.85,61.46,558.27,6817062.56,1449237.11,526.21,1.40,"3D",9,"Yes",3.36,3.58,27.00,2,"F"
1211050,"05586","W9403","Grivla (5586)",28-8-2009 12:56:00,28-8-2009 13:56:00,14.85,61.46,560.87,6817045.00,1449252.14,528.81,2.80,"3D",6,"Yes",3.36,3.56,27.00,2,"F"
1211051,"05586","W9403","Grivla (5586)",28-8-2009 12:57:00,28-8-2009 13:57:00,14.85,61.46,562.57,6817035.50,1449258.91,530.51,1.40,"3D",9,"Yes",3.34,3.58,28.00,2,"F"
1211052,"05586","W9403","Grivla (5586)",28-8-2009 12:58:00,28-8-2009 13:58:00,14.85,61.46,561.69,6817035.02,1449258.90,529.63,1.40,"3D",9,"Yes",3.34,3.56,28.00,2,"F"
1211053,"05586","W9403","Grivla (5586)",28-8-2009 12:59:00,28-8-2009 13:59:00,14.85,61.46,562.15,6817034.18,1449258.63,530.09,1.80,"3D",8,"Yes",3.36,3.56,28.00,2,"F"
1211054,"05586","W9403","Grivla (5586)",28-8-2009 13:00:00,28-8-2009 14:00:00,14.85,61.46,562.91,6817034.90,1449257.68,530.85,1.80,"3D",7,"Yes",3.34,3.58,28.00,2,"F"
1211055,"05586","W9403","Grivla (5586)",28-8-2009 13:30:08,28-8-2009 14:30:08,14.85,61.46,562.91,6817034.90,1449257.68,530.85,2.20,"3D",7,"Yes",3.38,3.56,28.00,2,"F"
1211056,"05586","W9403","Grivla (5586)",28-8-2009 14:00:07,28-8-2009 15:00:07,14.85,61.46,566.19,6816997.44,1449258.33,534.13,2.00,"3D",7,"Yes",3.38,3.58,28.00,2,"F"
1211057,"05586","W9403","Grivla (5586)",28-8-2009 14:30:20,28-8-2009 15:30:20,14.85,61.46,553.05,6817058.26,1449185.83,520.99,5.00,"3D",5,"Yes",3.38,3.58,28.00,2,"F"
1211058,"05586","W9403","Grivla (5586)",28-8-2009 15:00:26,28-8-2009 16:00:26,14.85,61.46,541.97,6817222.27,1449242.52,509.91,3.40,"3D",5,"Yes",3.38,3.58,27.00,2,"F"
1211059,"05586","W9403","Grivla (5586)",28-8-2009 15:30:28,28-8-2009 16:30:28,14.84,61.47,479.54,6817710.44,1448771.69,447.45,3.00,"3D",5,"Yes",3.38,3.58,27.00,2,"F"
1211060,"05586","W9403","Grivla (5586)",28-8-2009 16:02:48,28-8-2009 17:02:48,14.83,61.47,459.80,6818397.80,1448082.27,427.68,3.00,"3D",5,"Yes",3.36,3.58,27.00,2,"F"
1211061,"05586","W9403","Grivla (5586)",28-8-2009 16:30:36,28-8-2009 17:30:36,14.82,61.48,428.66,6819119.02,1447668.49,396.51,3.80,"3D",5,"Yes",3.38,3.58,28.00,2,"F"
1211062,"05586","W9403","Grivla (5586)",28-8-2009 17:00:48,28-8-2009 18:00:48,14.81,61.48,382.75,6819292.22,1447483.76,350.59,4.80,"3D",5,"Yes",3.38,3.58,27.00,2,"F"
1211063,"05586","W9403","Grivla (5586)",28-8-2009 17:32:44,28-8-2009 18:32:44,14.80,61.49,379.95,6819961.29,1446947.55,347.77,4.40,"2D",3,"No",3.36,3.58,24.00,2,"F"
1211064,"05586","W9403","Grivla (5586)",28-8-2009 18:00:47,28-8-2009 19:00:47,14.81,61.50,380.70,6821357.73,1447224.93,348.51,3.00,"3D",6,"Yes",3.38,3.58,21.00,2,"F"
1211065,"05586","W9403","Grivla (5586)",28-8-2009 18:30:46,28-8-2009 19:30:46,14.82,61.50,378.51,6821982.22,1447645.15,346.33,9.40,"3D",5,"Yes",3.38,3.58,21.00,2,"F"
1211066,"05586","W9403","Grivla (5586)",28-8-2009 19:00:47,28-8-2009 20:00:47,14.82,61.51,443.11,6822205.37,1447615.61,410.92,3.00,"3D",7,"Yes",3.38,3.58,21.00,2,"F"
1211067,"05586","W9403","Grivla (5586)",28-8-2009 19:30:22,28-8-2009 20:30:22,14.82,61.51,429.71,6822680.67,1447767.63,397.52,4.60,"3D",6,"Yes",3.38,3.58,22.00,2,"F"
1211068,"05586","W9403","Grivla (5586)",28-8-2009 20:01:32,28-8-2009 21:01:32,14.82,61.51,427.25,6823124.67,1447828.48,395.06,2.20,"2D",5,"No",3.36,3.58,22.00,2,"F"
1211069,"05586","W9403","Grivla (5586)",28-8-2009 20:30:30,28-8-2009 21:30:30,14.82,61.51,472.10,6823131.40,1447880.52,439.91,6.60,"3D",5,"Yes",3.38,3.58,21.00,2,"F"
